40.5171956#-74.2139906#40.5212324#-74.213022,427310,446
40.5212324#-74.213022#40.5171956#-74.2139906,427310,480
29.3040461#-98.4919047#29.3040461#-98.4919047,425104,482
31.7251514#-110.8801067#31.7200828#-110.8787354,424270,457
31.7200828#-110.8787354#31.7251514#-110.8801067,424270,463
40.6233726#-73.6242225#40.6233726#-73.6242225,416025,407
38.86911#-90.17156#38.86911#-90.17156,407044,441
39.0803767#-77.4035096#39.0803767#-77.4035096,400689,436
42.9817483#-76.7353284#42.9817483#-76.7353284,395641,418
40.5923453#-73.8914328#40.5923453#-73.8914328,394384,422
26.1787023#-98.3860016#26.1787023#-98.3860016,391876,414
41.9093357#-72.6790452#41.9043831#-72.6793912,390612,405
41.9043831#-72.6793912#41.9093357#-72.6790452,390612,437
42.5371252#-76.5506476#42.5371252#-76.5506476,386884,414
27.8270173#-97.0782208#27.8270173#-97.0782208,381924,433
38.6455061#-77.2361183#38.6455061#-77.2361183,380689,453
39.066803#-77.32951#39.066803#-77.32951,379456,426
40.4392518#-73.9869263#40.4392518#-73.9869263,374544,390
41.9093357#-72.6790452#41.9007518#-72.6791847,367902,420
41.9007518#-72.6791847#41.9093357#-72.6790452,367902,376
40.5838643#-75.6525958#40.5838643#-75.6525958,367236,404
26.1400912#-97.1748233#26.1400912#-97.1748233,364816,381
38.324#-75.091#38.324#-75.091,361201,400
40.857361#-124.094612#40.857361#-124.094612,354025,394
32.7913603#-80.1975989#32.7913603#-80.1975989,350464,389
38.9338272#-74.9550854#38.9417118#-74.9477327,347250,378
38.9417118#-74.9477327#38.9338272#-74.9550854,347250,386
40.4704124#-86.9787088#40.4704124#-86.9787088,342225,369
29.6068756#-82.3031116#29.6068756#-82.3031116,342225,385
26.4540529#-82.1155071#26.4540529#-82.1155071,338724,382
42.7438921#-89.1281319#42.7438921#-89.1281319,335241,406
41.8395126#-88.2190218#41.8395126#-88.2190218,321489,352
27.835069#-97.072276#27.8270173#-97.0782208,321360,378
27.8270173#-97.0782208#27.835069#-97.072276,321360,353
40.0730854#-82.8726196#40.0730854#-82.8726196,318096,341
26.2908369#-98.1361764#26.2908369#-98.1361764,318096,354
29.6492346#-82.3102677#29.6492346#-82.3102677,312481,353
42.2813095#-83.7221074#42.2813095#-83.7221074,311364,335
40.0405279#-75.602181#40.0405279#-75.602181,310249,336
42.6886185#-77.6772022#42.6886185#-77.6772022,309136,361
46.8418401#-92.030502#46.8418401#-92.030502,308025,353
39.0270763#-74.7776286#39.0270763#-74.7776286,304704,346
41.7332765#-73.1986856#41.7332765#-73.1986856,304704,337
26.6159905#-80.0461936#26.6159905#-80.0461936,300304,305
41.6277095#-83.191884#41.6253904#-83.191309,296100,305
41.6253904#-83.191309#41.6277095#-83.191884,296100,330
48.546018#-123.0122423#48.546018#-123.0122423,294849,313
33.5083#-79.0659#33.5083#-79.0659,287296,308
40.5149472#-74.2170726#40.5212324#-74.213022,285285,306
40.5212324#-74.213022#40.5149472#-74.2170726,285285,317
38.9359287#-74.9434519#38.9417118#-74.9477327,284250,315
38.9417118#-74.9477327#38.9359287#-74.9434519,284250,340
38.9391024#-74.9631287#38.9338272#-74.9550854,283356,284
38.9338272#-74.9550854#38.9391024#-74.9631287,283356,323
